               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094885,            0.046247,            0.025102,             0.23778,             0.33017,             0.17709,            0.041376,            0.067808,            0.033578,            0.018862,            0.003325,            0.003325,            0.070075
                   1,             0.07423,            0.034048,            0.013308,             0.34572,             0.45427,             0.28219,            0.070788,            0.064025,            0.027516,            0.005437,           0.0066569,           0.0066569,            0.040074
                   2,            0.068724,            0.031323,           0.0079817,             0.44093,             0.49927,             0.36979,             0.10518,            0.063725,            0.025087,           0.0042622,           0.0099828,           0.0099828,            0.010066
                   3,            0.061045,            0.031615,           0.0056958,             0.64365,             0.66411,             0.64002,             0.20188,            0.045855,            0.026043,           0.0027199,             0.00998,             0.00998,             0.00998
